week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Outbreak
10,22,215,0,160.0,0.0,2,1,2022,25.25157605,92.48405007,0.02035381907,34.5,291.5333334,1
21,20,232,15,7.0,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97,0
32,30,546,0,8.0,0.0,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,0
32,11,528,0,7.0,0.0,11,1,2022,23.77405735,71.68373466,0.06509449409,9.0,299.08,0
32,17,221,0,14.0,0.0,24,12,2021,9.98408,76.2741457,0.04125608103,33.0,303.028,0
32,30,546,0,8.0,0.0,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,0
48,33,228,1,1.0,0.0,24,1,2022,25.8435395,80.91800397,0.09903011933,10.907142857142857,290.18,0
49,20,232,15,1.0,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,10.907142857142857,300.06333340000003,0
49,25,379,0,15.0,0.0,11,2,2022,18.7232023,82.60811828,0.0004905797777,12.0,300.5566666,0
50,11,6,0,67.0,0.0,17,2,2022,23.0216238,72.5797068,7.25e-05,10.907142857142857,302.55333340000004,1
50,35,72,0,89.0,0.0,17,2,2022,23.41146995,87.84499445,0.003711025774,10.907142857142857,296.68,1
50,17,720,0,5.0,0.0,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,0
51,35,663,0,21.0,0.0,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,0
52,17,221,0,21.0,0.0,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,0
52,35,663,0,21.0,0.0,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,0
52,35,504,0,359.0,0.0,5,3,2022,22.642931,88.8930579,0.0127255705,10.907142857142857,299.72,1
52,17,221,0,21.0,0.0,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,0
52,16,721,0,27.0,0.0,3,3,2022,13.3400771,77.1006208,6.49e-05,7.0,308.4633334,0
52,35,662,0,21.0,0.0,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,0
52,35,504,0,359.0,0.0,5,3,2022,22.642931,88.8930579,0.0127255705,10.907142857142857,299.72,1
0,11,493,0,57.0,0.0,8,3,2022,20.952407,72.9323831,0.0001374485643,4.0,307.9233334,1
0,11,236,0,14.0,0.0,6,3,2022,23.2232877,72.6492267,7.1e-05,10.907142857142857,307.38,0
0,11,25,2,24.0,0.0,5,3,2022,22.5584995,72.9625629,5.63e-05,10.907142857142857,307.34000000000003,0
0,31,482,7,6.0,0.0,11,3,2022,16.8579636,79.21749353,0.0001335467262,8.0,309.556,0
0,35,504,0,556.0,0.0,5,3,2022,22.642931,88.8930579,0.0127255705,10.907142857142857,299.72,1
0,17,720,7,9.0,0.0,22,2,2022,8.4882267,76.947551,0.09370353234,46.0,301.496,0
0,30,32,7,6.0,0.0,5,2,2022,11.07603595,79.11745538,0.01250872941,10.0,303.384,0
0,30,32,21,15.0,0.0,31,1,2022,11.07603595,79.11745538,0.08308958667,10.0,300.355,0
0,30,757,7,17.0,0.0,16,2,2022,9.5208936,77.8784564,0.3079754379,7.0,306.0,0
1,16,272,0,25.0,0.0,17,3,2022,14.7874825,75.3996731,0.00127512791,20.0,307.064,0
1,16,272,0,36.0,0.0,18,3,2022,14.7874825,75.3996731,0.001077243378,20.0,307.02,0
1,17,221,0,16.0,0.0,11,3,2022,9.98408,76.2741457,0.04311431044,38.0,303.712,0
1,20,12,3,9.0,0.0,12,3,2022,20.76181225,77.19211567,0.01140150866,5.0,311.4666666,0
1,25,379,0,41.0,0.0,22,3,2022,18.7232023,82.60811828,0.0004851654548,10.907142857142857,307.552,0
2,11,493,0,19.0,0.0,27,3,2022,20.952407,72.9323831,8.8e-05,4.0,309.62,0
2,11,363,0,19.0,0.0,23,3,2022,22.75,72.833333,8.42e-05,6.0,311.62333340000004,0
2,16,163,0,29.0,0.0,23,3,2022,12.8827367,75.0309089,0.1548463487,23.0,303.66,0
2,20,561,7,11.0,0.0,21,3,2022,18.4928092,73.13807095,0.0001800343472,10.907142857142857,312.184,0
2,30,32,0,14.0,0.0,24,3,2022,11.07603595,79.11745538,0.003166009915,8.0,308.436,0
2,35,663,0,35.0,0.0,26,3,2022,22.5760669,88.42006758,0.01326398044,13.0,304.952,0
3,17,221,0,21.0,0.0,21,3,2022,9.98408,76.2741457,0.2802161895,10.907142857142857,302.56,0
3,17,704,0,7.0,0.0,30,3,2022,10.5256264,76.2132542,0.6296586828,10.907142857142857,302.385,0
3,17,790,7,8.0,0.0,16,3,2022,8.4882267,76.947551,0.07619242379,38.0,305.112,0
3,16,174,0,21.0,0.0,29,3,2022,14.4661266,75.9206361,0.0152337369,10.907142857142857,307.625,0
3,25,379,0,9.0,0.0,4,3,2022,18.7232023,82.60811828,5.11e-05,11.0,306.932,0
3,25,239,0,83.0,0.0,5,3,2022,19.4129711,85.04710406,0.4621250320674176,10.907142857142857,304.2933334,1
3,25,239,0,69.0,0.0,3,4,2022,19.4129711,85.04710406,0.4621250320674176,11.0,303.648,1
3,25,379,0,8.0,0.0,28,3,2022,18.7232023,82.60811828,0.0006149952725,11.0,308.19333340000003,0
3,30,545,7,15.0,0.0,30,3,2022,10.5,78.833333,0.06721439309,10.907142857142857,306.37,0
4,16,164,0,12.0,0.0,2,4,2022,12.9324457,74.9813132,0.1516883933,19.0,303.228,0
4,31,278,0,95.0,0.0,8,4,2022,17.360589,78.4740613,0.0008799355934,6.0,312.86400000000003,1
4,35,274,6,50.0,0.0,6,4,2022,22.9052114,88.3760639,0.01606103471,10.907142857142857,301.768,0
5,25,239,0,32.0,0.0,11,4,2022,19.4129711,85.04710406,0.4621250320674176,12.0,303.004,0
5,25,239,0,39.0,0.0,8,4,2022,19.4129711,85.04710406,0.4621250320674176,12.0,302.56,0
5,30,324,0,14.0,0.0,17,4,2022,11.7406259,78.9637131,0.3512801639,10.0,312.57,0
5,35,527,0,105.0,0.0,12,4,2022,22.3599134,87.41331448,0.001576650271,17.0,303.61,1
5,35,504,0,132.0,0.0,17,4,2022,22.642931,88.8930579,0.1245795666,16.0,302.7066666,1
5,17,515,7,18.0,0.0,26,3,2022,10.78789845,76.47408711,0.2079999161,23.0,305.46,0
6,12,523,0,6.0,0.0,23,4,2022,29.3912753,76.9771675,0.007797900735,10.907142857142857,309.8166666,0
6,17,376,0,61.0,0.0,24,4,2022,8.8879509,76.5955013,0.3409555758,13.0,302.42,1
6,17,720,0,6.0,0.0,19,4,2022,8.4882267,76.947551,0.7656736237,40.0,302.245,0
6,25,328,0,11.0,0.0,18,4,2022,20.13069385,84.07904761,0.01136203033,10.0,310.692,0
6,25,239,6,23.0,0.0,21,4,2022,19.4129711,85.04710406,0.4621250320674176,11.0,304.55333340000004,0
6,35,662,0,71.0,0.0,19,4,2022,22.5760669,88.42006758,0.001930660318,10.0,304.93333340000004,1
6,35,72,0,91.0,0.0,18,4,2022,23.41146995,87.84499445,0.1065287191,11.0,306.0133334,1
6,35,277,6,53.0,0.0,17,4,2022,22.5736296,88.3251045,0.002075951935,10.0,305.268,1
7,16,271,0,40.0,0.0,24,4,2022,13.0070817,76.0992703,0.09880602699,10.0,303.87,0
7,17,376,0,63.0,0.0,29,4,2022,8.8879509,76.5955013,0.3002021842,13.0,301.72,1
7,25,239,0,29.0,0.0,26,4,2022,19.4129711,85.04710406,0.4621250320674176,11.0,306.316,0
7,30,32,0,17.0,0.0,28,4,2022,11.07603595,79.11745538,0.03080676776,8.0,310.16,0
7,35,274,0,40.0,0.0,25,4,2022,22.9052114,88.3760639,0.04226417578,12.0,302.65000000000003,0
7,11,493,0,21.0,0.0,2,1,2022,20.952407,72.9323831,0.00499654567,5.0,298.955,0
7,17,221,7,16.0,0.0,28,3,2022,9.98408,76.2741457,0.2976702684,30.0,303.396,0
8,1,387,0,30.0,0.0,28,4,2022,16.21399145,81.02572814,0.001602218663,7.0,308.756,0
8,11,597,7,4.0,3.0,26,4,2022,24.0294885,73.0459884,0.0004518239242,7.0,318.4766666,0
8,17,699,0,10.0,0.0,4,5,2022,8.4882267,76.947551,0.2774664184,45.0,301.6866666,0
8,19,435,0,254.0,0.0,7,5,2022,24.2651306,75.38718194,0.0113970782,3.0,317.3666666,1
8,27,595,0,113.0,0.0,25,4,2022,30.7041168,76.7176885,0.00900936075,6.0,309.4233334,1
8,30,746,0,15.0,0.0,7,5,2022,12.7948109,79.0006411,0.1129625705,10.0,306.572,0
8,15,220,15,37.0,1.0,21,4,2022,22.8092139,86.2091549,0.04142995706,7.0,311.8366666,0
8,27,337,0,11.0,0.0,25,4,2022,31.38524095,75.30552274,0.01893975441,5.0,310.79200000000003,0
