iter	Passed	Remaining
0	141	28101
1	144	14317
2	147	9680
3	149	7348
4	152	5946
5	154	5010
6	157	4341
7	160	3840
8	162	3447
9	164	3134
10	167	2878
11	170	2664
12	172	2482
13	175	2326
14	177	2190
15	180	2073
16	182	1967
17	185	1874
18	187	1790
19	190	1713
20	193	1645
21	195	1582
22	198	1524
23	200	1471
24	203	1422
25	205	1377
26	208	1335
27	210	1295
28	213	1259
29	216	1224
30	218	1192
31	221	1162
32	223	1133
33	226	1105
34	229	1080
35	231	1055
36	234	1031
37	236	1008
38	239	987
39	241	966
40	244	947
41	246	928
42	249	910
43	251	893
44	254	876
45	257	860
46	259	845
47	262	830
48	264	816
49	267	802
50	270	789
51	272	775
52	275	763
53	277	750
54	280	738
55	282	727
56	285	715
57	287	704
58	290	694
59	293	683
60	295	673
61	298	663
62	300	654
63	303	644
64	305	635
65	308	626
66	311	617
67	313	608
68	316	600
69	318	592
70	321	583
71	323	574
72	325	566
73	328	559
74	330	551
75	333	544
76	336	536
77	338	529
78	341	522
79	343	515
80	346	508
81	349	502
82	351	496
83	354	489
84	357	483
85	359	476
86	362	470
87	365	464
88	367	458
89	370	452
90	372	446
91	375	440
92	377	434
93	380	429
94	383	424
95	386	418
96	389	413
97	391	407
98	394	402
99	397	397
100	399	391
101	402	386
102	405	381
103	407	376
104	410	371
105	413	366
106	415	361
107	418	356
108	420	351
109	423	346
110	426	341
111	428	336
112	431	332
113	434	327
114	436	322
115	439	318
116	441	313
117	444	308
118	447	304
119	449	299
120	452	295
121	455	290
122	457	286
123	460	282
124	462	277
125	465	273
126	468	269
127	470	264
128	473	260
129	476	256
130	478	252
131	481	248
132	484	243
133	486	239
134	489	235
135	491	231
136	494	227
137	497	223
138	499	219
139	502	215
140	504	211
141	507	207
142	510	203
143	512	199
144	515	195
145	518	191
146	520	187
147	523	183
148	525	180
149	528	176
150	531	172
151	533	168
152	536	164
153	539	161
154	541	157
155	544	153
156	547	149
157	549	146
158	552	142
159	554	138
160	557	135
161	560	131
162	562	127
163	565	124
164	568	120
165	570	116
166	573	113
167	576	109
168	578	106
169	581	102
170	583	99
171	586	95
172	589	91
173	591	88
174	594	84
175	597	81
176	599	77
177	602	74
178	605	70
179	607	67
180	610	64
181	612	60
182	615	57
183	618	53
184	620	50
185	623	46
186	626	43
187	628	40
188	631	36
189	634	33
190	636	29
191	639	26
192	642	23
193	644	19
194	647	16
195	649	13
196	652	9
197	655	6
198	657	3
199	660	0
